time_shelter,animal_id,animal_type,breed,color,name,outcome_type,sex_upon_outcome,sex,Spay/Neuter,Periods,Cat/Kitten (outcome),dob_year,dob_month,outcome_month,domestic_breed,coat_pattern
1 weeks,A702058,Cat,domestic shorthair,black,,Transfer,Unknown,Female,Yes,1,Kitten,2015,4,5,True,
2 months,A756823,Cat,domestic shorthair,black,Hurricane,Adoption,Neutered Male,Male,Yes,2,Kitten,2017,6,8,True,
1 month,A733208,Cat,domestic shorthair,black,,Transfer,Unknown,Female,Yes,1,Kitten,2016,7,8,True,
2 months,A749850,Cat,domestic shorthair,orange /white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2017,3,5,True,tabby
8 months,A711675,Cat,domestic shorthair,blue/white,*Dusty,Adoption,Neutered Male,Male,Yes,8,Cat,2015,1,9,True,
2 months,A754494,Cat,domestic shorthair,white/blue,*Angus,Adoption,Neutered Male,Male,Yes,2,Kitten,2017,6,9,True,
1 month,A735101,Cat,domestic mediumhair,white/brown,*Billy,Adoption,Neutered Male,Male,Yes,1,Kitten,2016,8,9,True,tabby
1 year,A752938,Cat,domestic shorthair,/black,*Sandra,Transfer,Intact Female,Female,No,1,Cat,2016,6,7,True,tortie
2 years,A713371,Cat,domestic shorthair,,Oakley,Return to Owner,Spayed Female,Female,Yes,2,Cat,2013,10,10,True,tortie
3 months,A750299,Cat,domestic longhair,brown,*Star,Transfer,Spayed Female,Female,Yes,3,Kitten,2017,4,8,True,tabby
1 year,A753772,Cat,siamese,/white,*Calene,Adoption,Spayed Female,Female,Yes,1,Cat,2016,7,8,False,tortie
6 days,A755428,Cat,domestic shorthair,brown,,Transfer,Unknown,Female,Yes,6,Kitten,2017,7,8,True,tabby
3 years,A736003,Cat,siamese,,*Madeline,Transfer,Intact Female,Female,No,3,Cat,2013,10,11,False,tortie
3 months,A753960,Cat,domestic shorthair,lynx,*Billy,Adoption,Neutered Male,Male,Yes,3,Kitten,2017,4,7,True,point
10 months,A746943,Cat,domestic shorthair,,,Adoption,Spayed Female,Female,Yes,10,Cat,2016,6,4,True,calico
2 months,A702377,Cat,ragdoll,lynx,Polydactyl,Return to Owner,Neutered Male,Male,Yes,2,Kitten,2015,3,5,False,point
2 months,A739577,Cat,domestic shorthair,orange /white,,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,11,1,True,tabby
2 years,A744019,Cat,domestic shorthair,blue/white,*Merlin,Adoption,Neutered Male,Male,Yes,2,Cat,2015,2,3,True,
2 weeks,A710344,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,2,Kitten,2015,8,8,True,tabby
2 months,A747609,Cat,domestic shorthair,black,*Dumpling,Adoption,Spayed Female,Female,Yes,2,Kitten,2017,3,6,True,
2 months,A726385,Cat,domestic longhair,blue/white,*Azul,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,4,6,True,
4 years,A751038,Cat,siamese,lynx,Binky,Adoption,Neutered Male,Male,Yes,4,Cat,2013,6,6,False,point
6 years,A743082,Cat,himalayan,white,Amba,Return to Owner,Spayed Female,Female,Yes,6,Cat,2011,2,2,True,
8 years,A728178,Cat,domestic shorthair,white/blue,*Ethel,Transfer,Spayed Female,Female,Yes,8,Cat,2008,5,6,True,
2 months,A707368,Cat,domestic shorthair,black,Pig,Adoption,Intact Female,Female,No,2,Kitten,2015,5,7,True,
3 months,A762751,Cat,domestic shorthair,orange /white,,Adoption,Neutered Male,Male,Yes,3,Kitten,2017,8,12,True,tabby
2 years,A732918,Cat,domestic shorthair,orange,,Euthanasia,Intact Male,Male,No,2,Cat,2014,8,8,True,tabby
2 months,A758300,Cat,domestic shorthair,/white,*Bunny,Adoption,Spayed Female,Female,Yes,2,Kitten,2017,8,11,True,torbie
9 years,A726847,Cat,domestic shorthair,orange,*Orrin,Adoption,Neutered Male,Male,Yes,9,Cat,2007,5,7,True,tabby
1 year,A758819,Cat,domestic shorthair,white/blue,Gracie,Adoption,Spayed Female,Female,Yes,1,Cat,2016,9,10,True,
1 year,A710862,Cat,domestic shorthair,brown,Clyde,Transfer,Neutered Male,Male,Yes,1,Cat,2014,8,9,True,tabby
2 months,A729423,Cat,siamese,lynx /white,*Augie,Adoption,Neutered Male,Male,Yes,2,Kitten,2016,5,7,False,point
2 years,A725351,Cat,domestic shorthair,brown,,Transfer,Neutered Male,Male,Yes,2,Cat,2014,4,5,True,tabby
1 year,A712811,Cat,domestic shorthair,black,Sofia,Return to Owner,Spayed Female,Female,Yes,1,Cat,2014,9,9,True,
1 year,A758726,Cat,domestic shorthair,black,Maggie,Adoption,Spayed Female,Female,Yes,1,Cat,2016,9,10,True,
4 months,A763168,Cat,domestic shorthair,blue,*Jackie,Transfer,Spayed Female,Female,Yes,4,Kitten,2017,7,12,True,
4 months,A758973,Cat,american shorthair,black/white,,Transfer,Intact Male,Male,No,4,Kitten,2017,5,9,False,
2 months,A761925,Cat,domestic mediumhair,black,*Chalula,Adoption,Spayed Female,Female,Yes,2,Kitten,2017,10,12,True,
1 year,A747694,Cat,domestic shorthair,orange /white,*Marmalade,Transfer,Spayed Female,Female,Yes,1,Cat,2015,10,5,True,tabby
5 months,A733500,Cat,domestic shorthair,orange /white,,Adoption,Spayed Female,Female,Yes,5,Kitten,2016,9,2,True,tabby
2 months,A738653,Cat,domestic shorthair,brown /white,*Hailee,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,11,2,True,tabby
3 months,A730612,Cat,domestic shorthair,black/white,,Transfer,Spayed Female,Female,Yes,3,Kitten,2016,4,7,True,
3 years,A729280,Cat,siamese,seal,,Transfer,Neutered Male,Male,Yes,3,Cat,2013,6,6,False,point
2 months,A751407,Cat,domestic shorthair,brown /white,*Clark,Transfer,Intact Male,Male,No,2,Kitten,2017,3,6,True,tabby
1 month,A732234,Cat,manx,blue,,Transfer,Intact Female,Female,No,1,Kitten,2016,7,9,False,tabby
2 months,A761335,Cat,domestic shorthair,black/white,Rascal,Adoption,Neutered Male,Male,Yes,2,Kitten,2017,9,12,True,
1 month,A701078,Cat,domestic shorthair,silver /white,*Orville,Adoption,Neutered Male,Male,Yes,1,Kitten,2015,3,5,True,tabby
1 weeks,A710413,Cat,domestic shorthair,blue,,Transfer,Unknown,Female,Yes,1,Kitten,2015,8,8,True,tabby
1 year,A715132,Cat,siamese,lynx /white,,Transfer,Intact Female,Female,No,1,Cat,2014,10,11,False,point
1 year,A753009,Cat,domestic shorthair,blue /white,,Transfer,Intact Female,Female,No,1,Cat,2016,6,7,True,tabby
2 years,A755822,Cat,domestic shorthair,brown /white,Scooter,Transfer,Neutered Male,Male,Yes,2,Cat,2015,8,8,True,tabby
2 months,A704202,Cat,domestic shorthair,brown,,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,3,6,True,tabby
4 months,A712583,Cat,domestic shorthair,cream /white,*Ernestine,Adoption,Spayed Female,Female,Yes,4,Kitten,2015,9,2,True,tabby
2 weeks,A731272,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,2,Kitten,2016,7,7,True,calico
4 months,A762062,Cat,domestic shorthair,brown /white,,Transfer,Intact Female,Female,No,4,Kitten,2017,7,11,True,tabby
1 weeks,A702028,Cat,domestic longhair,black /white,,Transfer,Unknown,Female,Yes,1,Kitten,2015,4,5,True,tabby
8 years,A738781,Cat,domestic shorthair,,*Esme,Transfer,Intact Female,Female,No,8,Cat,2008,11,1,True,calico
3 months,A701041,Cat,domestic shorthair,brown,Munchkin,Return to Owner,Spayed Female,Female,Yes,3,Kitten,2015,4,7,True,tabby
3 months,A710491,Cat,domestic longhair,black/white,*Cupcake,Adoption,Spayed Female,Female,Yes,3,Kitten,2015,7,10,True,
7 months,A749302,Cat,domestic shorthair,brown /white,Potter,Rto-Adopt,Neutered Male,Male,Yes,7,Cat,2017,3,11,True,tabby
2 years,A737207,Cat,domestic shorthair,white/brown,Cornelius,Transfer,Neutered Male,Male,Yes,2,Cat,2014,10,9,True,
8 years,A749386,Cat,domestic mediumhair,brown/buff,,Euthanasia,Neutered Male,Male,Yes,8,Cat,2009,5,5,True,
2 years,A721003,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,2,Cat,2014,2,2,True,tortie
1 year,A700115,Cat,domestic shorthair,black,,Adoption,Neutered Male,Male,Yes,1,Cat,2014,4,4,True,
2 years,A702514,Cat,domestic shorthair,cream,,Transfer,Intact Male,Male,No,2,Cat,2013,5,5,True,tabby
2 years,A729901,Cat,domestic shorthair,blue,,Transfer,Intact Male,Male,No,2,Cat,2014,6,6,True,
2 weeks,A711722,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,2,Kitten,2015,8,9,True,tabby
5 days,A731852,Cat,domestic shorthair,black/white,,Transfer,Unknown,Female,Yes,5,Kitten,2016,7,7,True,
3 weeks,A727995,Cat,domestic longhair,brown,,Transfer,Intact Male,Male,No,3,Kitten,2016,5,5,True,tabby
1 week,A753274,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,1,Kitten,2017,6,7,True,
3 weeks,A752943,Cat,domestic shorthair,black/white,,Transfer,Intact Male,Male,No,3,Kitten,2017,6,7,True,
12 years,A759673,Cat,domestic longhair,black/black,Major,Adoption,Neutered Male,Male,Yes,12,Cat,2005,10,10,True,
2 years,A716447,Cat,domestic shorthair,black,Doodle,Transfer,Neutered Male,Male,Yes,2,Cat,2013,9,11,True,
5 years,A712277,Cat,domestic shorthair,,*Farrah,Adoption,Spayed Female,Female,Yes,5,Cat,2010,9,10,True,calico
2 months,A706830,Cat,domestic shorthair,brown,,Adoption,Spayed Female,Female,Yes,2,Kitten,2015,4,7,True,tabby
3 months,A764135,Cat,domestic shorthair,brown,,Adoption,Neutered Male,Male,Yes,3,Kitten,2017,9,12,True,tabby
1 year,A753090,Cat,domestic mediumhair,black/white,,Transfer,Intact Female,Female,No,1,Cat,2016,7,7,True,
2 months,A747710,Cat,domestic shorthair,black,*Onyx,Adoption,Spayed Female,Female,Yes,2,Kitten,2017,3,5,True,
5 months,A714303,Cat,domestic mediumhair,brown,Little Grey,Adoption,Neutered Male,Male,Yes,5,Kitten,2015,5,10,True,tabby
3 months,A736735,Cat,domestic shorthair,white/brown,Caleb,Adoption,Neutered Male,Male,Yes,3,Kitten,2016,7,10,True,
1 month,A745558,Cat,domestic shorthair,black/white,,Transfer,Intact Male,Male,No,1,Kitten,2017,1,3,True,
2 weeks,A700929,Cat,domestic mediumhair,white/orange,,Transfer,Unknown,Female,Yes,2,Kitten,2015,4,4,True,
1 year,A733603,Cat,domestic shorthair,,,Transfer,Spayed Female,Female,Yes,1,Cat,2015,8,8,True,torbie
10 years,A763370,Cat,domestic shorthair,brown,Veruca,Return to Owner,Spayed Female,Female,Yes,10,Cat,2007,12,12,True,tabby
2 years,A710682,Cat,domestic shorthair,white,,Transfer,Unknown,Female,Yes,2,Cat,2013,8,8,True,
2 months,A726369,Cat,domestic mediumhair,,,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,4,7,True,calico
2 years,A735969,Cat,domestic longhair,brown /white,Dallas,Adoption,Spayed Female,Female,Yes,2,Cat,2014,10,10,True,tabby
1 year,A698924,Cat,domestic shorthair,brown /white,Kit Cat,Adoption,Spayed Female,Female,Yes,1,Cat,2014,3,4,True,tabby
2 months,A758904,Cat,domestic shorthair,brown /white,,Transfer,Intact Male,Male,No,2,Kitten,2017,7,9,True,tabby
2 days,A700300,Cat,domestic shorthair,blue,,Transfer,Intact Male,Male,No,2,Kitten,2015,4,4,True,
2 months,A713346,Cat,domestic mediumhair,blue,,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,9,11,True,smoke
2 months,A763945,Cat,domestic shorthair,black,,Adoption,Spayed Female,Female,Yes,2,Kitten,2017,10,12,True,
1 year,A701741,Cat,domestic shorthair,orange /white,,Transfer,Unknown,Female,Yes,1,Cat,2014,5,5,True,tabby
2 months,A737520,Cat,domestic shorthair,orange /white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2016,10,1,True,tabby
1 year,A743890,Cat,domestic shorthair,black,,Euthanasia,Unknown,Female,Yes,1,Cat,2016,2,2,True,
3 months,A702608,Cat,domestic shorthair,,*Emily,Adoption,Spayed Female,Female,Yes,3,Kitten,2015,4,7,True,tortie
1 month,A703289,Cat,domestic shorthair,lynx,,Transfer,Intact Female,Female,No,1,Kitten,2015,4,5,True,point
2 years,A716692,Cat,domestic mediumhair,,Madonna,Adoption,Spayed Female,Female,Yes,2,Cat,2013,11,12,True,calico
2 months,A752127,Cat,domestic shorthair,brown,*Teddy,Adoption,Neutered Male,Male,Yes,2,Kitten,2017,5,7,True,tabby
3 months,A738708,Cat,domestic shorthair,,Ginger,Adoption,Spayed Female,Female,Yes,3,Kitten,2016,10,1,True,torbie
1 year,A729103,Cat,domestic shorthair,blue,Clementine,Return to Owner,Intact Female,Female,No,1,Cat,2015,6,6,True,
5 months,A707979,Cat,siamese,lynx,,Adoption,Neutered Male,Male,Yes,5,Kitten,2015,6,12,False,point
1 year,A743727,Cat,domestic shorthair,black,*Victoria,Adoption,Spayed Female,Female,Yes,1,Cat,2016,2,3,True,
1 month,A708248,Cat,domestic shorthair,brown /white,*Wynnie,Adoption,Intact Female,Female,No,1,Kitten,2015,7,8,True,tabby
1 month,A728657,Cat,domestic shorthair,black,Razzy,Adoption,Intact Male,Male,No,1,Kitten,2016,5,6,True,
3 years,A734544,Cat,domestic shorthair,black/white,*Meryl,Transfer,Spayed Female,Female,Yes,3,Cat,2013,9,10,True,
10 months,A761513,Cat,domestic shorthair,brown /white,,Transfer,Intact Male,Male,No,10,Cat,2017,1,11,True,tabby
5 months,A761883,Cat,domestic shorthair,black/white,*Roxy,Adoption,Spayed Female,Female,Yes,5,Kitten,2017,7,12,True,
12 years,A759834,Cat,domestic shorthair,brown /white,*Tilda,Transfer,Spayed Female,Female,Yes,12,Cat,2005,10,10,True,tabby
4 months,A711795,Cat,domestic shorthair,brown,,Return to Owner,Unknown,Female,Yes,4,Kitten,2015,5,9,True,tabby
8 months,A750362,Cat,domestic shorthair,white,Snow,Adoption,Neutered Male,Male,Yes,8,Cat,2016,9,6,True,
2 months,A701061,Cat,domestic shorthair,brown,,Adoption,Spayed Female,Female,Yes,2,Kitten,2015,3,6,True,tabby
2 years,A741815,Cat,domestic shorthair,blue,Luna,Died,Neutered Male,Male,Yes,2,Cat,2015,1,1,True,
2 years,A755712,Cat,siamese,,Snowball,Transfer,Spayed Female,Female,Yes,2,Cat,2015,8,8,False,tortie
3 years,A758534,Cat,domestic shorthair,,Sadie,Transfer,Spayed Female,Female,Yes,3,Cat,2014,3,9,True,tortie
8 months,A740686,Cat,domestic shorthair,,Penny,Adoption,Spayed Female,Female,Yes,8,Cat,2016,6,2,True,tortie
3 weeks,A732344,Cat,domestic shorthair,brown,,Transfer,Intact Female,Female,No,3,Kitten,2016,7,8,True,tabby
6 years,A757921,Cat,siamese,,Bug,Adoption,Spayed Female,Female,Yes,6,Cat,2011,9,9,False,calico
12 years,A738074,Cat,siamese,lynx,Skippy,Died,Spayed Female,Female,Yes,12,Cat,2004,11,11,False,point
1 year,A720223,Cat,domestic longhair,seal /white,*Lucinda,Adoption,Spayed Female,Female,Yes,1,Cat,2015,2,2,True,point
2 weeks,A747401,Cat,domestic mediumhair,brown,,Transfer,Intact Female,Female,No,2,Kitten,2017,4,4,True,tabby
8 months,A762416,Cat,domestic shorthair,black/white,Luigi,Return to Owner,Intact Male,Male,No,8,Cat,2017,3,11,True,
3 years,A759297,Cat,domestic shorthair,black,Ohio,Adoption,Neutered Male,Male,Yes,3,Cat,2014,9,11,True,
3 weeks,A705373,Cat,domestic shorthair,black,,Transfer,Unknown,Female,Yes,3,Kitten,2015,5,6,True,
2 months,A738032,Cat,domestic shorthair,,Scrunchie,Adoption,Neutered Male,Male,Yes,2,Kitten,2016,9,11,True,agouti
1 month,A713331,Cat,domestic shorthair,black/white,*Jack,Transfer,Intact Male,Male,No,1,Kitten,2015,8,10,True,
1 year,A714054,Cat,domestic shorthair,/white,,Transfer,Intact Female,Female,No,1,Cat,2014,10,10,True,calico
2 weeks,A752406,Cat,domestic mediumhair,brown,,Transfer,Intact Female,Female,No,2,Kitten,2017,6,6,True,tabby
1 week,A747724,Cat,domestic shorthair,,,Transfer,Intact Female,Female,No,1,Kitten,2017,4,4,True,tortie
7 months,A718711,Cat,domestic shorthair,black,Double,Transfer,Spayed Female,Female,Yes,7,Cat,2015,6,1,True,
3 years,A758262,Cat,domestic mediumhair,black,Juliett,Adoption,Spayed Female,Female,Yes,3,Cat,2014,9,11,True,smoke
2 years,A758739,Cat,domestic shorthair,brown /white,,Transfer,Unknown,Female,Yes,2,Cat,2015,9,9,True,tabby
2 years,A758331,Cat,american shorthair,white/blue,*Katia,Adoption,Spayed Female,Female,Yes,2,Cat,2015,9,10,False,
4 months,A710613,Cat,domestic mediumhair,brown /white,,Transfer,Intact Female,Female,No,4,Kitten,2015,4,8,True,tabby
1 year,A708826,Cat,siamese,lynx,,Transfer,Unknown,Female,Yes,1,Cat,2014,8,8,False,point
2 years,A734698,Cat,domestic shorthair,blue,*Tilda,Adoption,Spayed Female,Female,Yes,2,Cat,2014,9,9,True,tabby
2 years,A703351,Cat,domestic shorthair,,Luna,Transfer,Spayed Female,Female,Yes,2,Cat,2013,5,6,True,tortie
3 months,A743689,Cat,domestic shorthair,blue,*Winnie,Adoption,Spayed Female,Female,Yes,3,Kitten,2016,10,2,True,tabby
2 months,A704404,Cat,domestic shorthair,brown,*Cookie,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,4,7,True,tabby
2 years,A752345,Cat,domestic shorthair,white,,Euthanasia,Unknown,Female,Yes,2,Cat,2015,6,6,True,
2 months,A725030,Cat,domestic shorthair,,*Jessie,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,4,6,True,tortie
2 months,A697927,Cat,domestic shorthair,brown /white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,2,4,True,tabby
1 year,A705361,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,1,Cat,2014,6,6,True,tabby
2 years,A739730,Cat,domestic shorthair,blue,Lily,Adoption,Spayed Female,Female,Yes,2,Cat,2015,1,1,True,tabby
6 months,A736363,Cat,siamese,lilac,,Adoption,Neutered Male,Male,Yes,6,Cat,2016,4,10,False,point
1 year,A719529,Cat,domestic shorthair,brown,*Patrick,Adoption,Neutered Male,Male,Yes,1,Cat,2015,1,3,True,tabby
2 months,A704407,Cat,domestic shorthair,brown,*Truffle,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,4,7,True,tabby
1 month,A758025,Cat,domestic shorthair,blue/white,,Died,Intact Female,Female,No,1,Kitten,2017,8,9,True,
2 months,A705194,Cat,domestic mediumhair,blue /white,Rambo,Adoption,Intact Male,Male,No,2,Kitten,2015,4,6,True,tabby
2 months,A747364,Cat,domestic shorthair,/white,,Adoption,Spayed Female,Female,Yes,2,Kitten,2017,2,4,True,torbie
9 years,A489415,Cat,domestic shorthair,white,Pierre,Adoption,Neutered Male,Male,Yes,9,Cat,2007,9,9,True,
2 months,A729817,Cat,domestic shorthair,brown /white,,Adoption,Neutered Male,Male,Yes,2,Kitten,2016,5,7,True,tabby
1 year,A760787,Cat,domestic longhair,,*Hermione,Adoption,Spayed Female,Female,Yes,1,Cat,2016,10,10,True,calico
2 years,A754102,Cat,domestic shorthair,/black,*Lena,Adoption,Spayed Female,Female,Yes,2,Cat,2015,7,9,True,tortie
2 months,A715198,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,2,Kitten,2015,9,11,True,tabby
3 months,A734045,Cat,domestic shorthair,cream,,Adoption,Neutered Male,Male,Yes,3,Kitten,2016,7,10,True,tabby
2 months,A727641,Cat,domestic shorthair,black,,Died,Spayed Female,Female,Yes,2,Kitten,2016,5,7,True,
4 months,A727453,Cat,domestic mediumhair,black,*Jill,Adoption,Spayed Female,Female,Yes,4,Kitten,2016,4,8,True,
10 months,A719139,Cat,domestic shorthair,brown,*Vera,Transfer,Intact Female,Female,No,10,Cat,2015,3,2,True,tabby
1 month,A737242,Cat,domestic shorthair,orange,*Vanya,Adoption,Spayed Female,Female,Yes,1,Kitten,2016,9,10,True,tabby
3 weeks,A703266,Cat,domestic shorthair,brown /white,,Transfer,Unknown,Female,Yes,3,Kitten,2015,4,5,True,tabby
3 months,A738846,Cat,domestic shorthair,cream /white,,Adoption,Neutered Male,Male,Yes,3,Kitten,2016,8,11,True,tabby
2 months,A748965,Cat,domestic shorthair,black/white,*Harpo,Adoption,Spayed Female,Female,Yes,2,Kitten,2017,4,7,True,
2 months,A701194,Cat,domestic shorthair,black,*Nick,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,4,6,True,
3 months,A714176,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,3,Kitten,2015,7,10,True,
2 months,A699111,Cat,domestic shorthair,brown,Biggie Small,Adoption,Neutered Male,Male,Yes,2,Kitten,2015,3,5,True,tabby
1 year,A724240,Cat,domestic mediumhair,blue,,Transfer,Spayed Female,Female,Yes,1,Cat,2015,4,4,True,
2 months,A724584,Cat,domestic shorthair,,*Soffi,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,2,5,True,torbie
5 months,A709087,Cat,domestic shorthair,brown /white,Pickles,Adoption,Neutered Male,Male,Yes,5,Kitten,2015,3,8,True,tabby
4 weeks,A734423,Cat,domestic shorthair,black,*Tee Nine E,Transfer,Intact Female,Female,No,4,Kitten,2016,8,9,True,
6 years,A755703,Cat,maine coon,brown,Whitney,Adoption,Spayed Female,Female,Yes,6,Cat,2011,8,8,False,tabby
3 weeks,A734812,Cat,domestic shorthair,brown /white,,Transfer,Intact Female,Female,No,3,Kitten,2016,8,9,True,tabby
2 weeks,A727275,Cat,domestic shorthair,brown /black,,Transfer,Intact Male,Male,No,2,Kitten,2016,5,5,True,tabby
1 year,A743939,Cat,domestic shorthair,orange /white,,Adoption,Neutered Male,Male,Yes,1,Cat,2016,2,2,True,tabby
1 year,A717168,Cat,domestic longhair,black /white,Bunny,Adoption,Spayed Female,Female,Yes,1,Cat,2014,6,12,True,tabby
1 month,A713935,Cat,domestic shorthair,orange /white,,Euthanasia,Intact Female,Female,No,1,Kitten,2015,8,10,True,tabby
6 years,A703254,Cat,domestic shorthair,black/white,*Hudson,Adoption,Neutered Male,Male,Yes,6,Cat,2009,5,6,True,
2 months,A702128,Cat,domestic shorthair,black/white,*Kari,Adoption,Spayed Female,Female,Yes,2,Kitten,2015,4,7,True,
3 years,A724495,Cat,domestic mediumhair,brown,Tiger Lily,Transfer,Spayed Female,Female,Yes,3,Cat,2012,5,4,True,tabby
2 months,A699141,Cat,domestic shorthair,cream /white,*Crema,Adoption,Spayed Female,Female,Yes,2,Kitten,2015,2,5,True,tabby
3 weeks,A736105,Cat,domestic shorthair,brown,,Transfer,Intact Male,Male,No,3,Kitten,2016,9,10,True,tabby
3 months,A710195,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,3,Kitten,2015,5,8,True,
5 months,A732555,Cat,domestic shorthair,black,*Midnight,Transfer,Neutered Male,Male,Yes,5,Kitten,2016,7,1,True,
2 years,A737205,Cat,maine coon,brown,Xerxes,Return to Owner,Neutered Male,Male,Yes,2,Cat,2014,10,10,False,tabby
2 months,A760475,Cat,domestic shorthair,white/black,,Transfer,Intact Female,Female,No,2,Kitten,2017,8,11,True,
1 year,A762972,Cat,domestic shorthair,brown /white,*Beatrice,Transfer,Intact Female,Female,No,1,Cat,2016,11,12,True,tabby
2 years,A754076,Cat,domestic shorthair,black,,Transfer,Intact Female,Female,No,2,Cat,2015,7,7,True,
3 months,A737585,Cat,domestic shorthair,blue/white,Snickers,Adoption,Neutered Male,Male,Yes,3,Kitten,2016,9,12,True,
8 months,A723360,Cat,domestic shorthair,black,,Transfer,Spayed Female,Female,Yes,8,Cat,2015,7,4,True,
2 years,A749797,Cat,domestic shorthair,black,Boo,Adoption,Spayed Female,Female,Yes,2,Cat,2015,5,5,True,
2 months,A729806,Cat,domestic shorthair,black,,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,4,6,True,tabby
8 years,A755102,Cat,domestic longhair,,Talesin,Adoption,Spayed Female,Female,Yes,8,Cat,2009,7,8,True,torbie
7 years,A711334,Cat,domestic longhair,blue/white,Gabby,Adoption,Spayed Female,Female,Yes,7,Cat,2008,9,1,True,
1 month,A703949,Cat,domestic shorthair,cream,*Ginger,Adoption,Spayed Female,Female,Yes,1,Kitten,2015,4,6,True,tabby
3 months,A717680,Cat,domestic shorthair,blue,,Transfer,Neutered Male,Male,Yes,3,Kitten,2015,8,12,True,tabby
4 months,A712392,Cat,domestic shorthair,blue,,Adoption,Spayed Female,Female,Yes,4,Kitten,2015,9,1,True,tabby
2 months,A728654,Cat,domestic mediumhair,brown,,Adoption,Neutered Male,Male,Yes,2,Kitten,2016,3,6,True,tabby
1 month,A754906,Cat,domestic longhair,blue,,Adoption,Neutered Male,Male,Yes,1,Kitten,2017,5,7,True,tabby
1 month,A724898,Cat,domestic shorthair,white,,Euthanasia,Intact Male,Male,No,1,Kitten,2016,3,5,True,
6 months,A721839,Cat,domestic shorthair,brown,,Transfer,Spayed Female,Female,Yes,6,Cat,2015,9,3,True,tabby
5 days,A725722,Cat,domestic shorthair,brown,,Transfer,Unknown,Female,Yes,5,Kitten,2016,5,5,True,tabby
3 months,A757528,Cat,domestic shorthair,white/black,,Transfer,Intact Male,Male,No,3,Kitten,2017,6,9,True,
2 months,A713696,Cat,domestic shorthair,,*Kami,Adoption,Spayed Female,Female,Yes,2,Kitten,2015,9,11,True,tortie
1 month,A735187,Cat,domestic shorthair,black,*Morris,Transfer,Intact Male,Male,No,1,Kitten,2016,8,9,True,
6 years,A710172,Cat,siamese,flame,Leonard,Adoption,Neutered Male,Male,Yes,6,Cat,2009,8,8,False,point
6 years,A690822,Cat,domestic mediumhair,orange /white,*Geronimo,Adoption,Neutered Male,Male,Yes,6,Cat,2009,10,9,True,tabby
2 months,A725756,Cat,domestic longhair,black,Serenity,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,2,5,True,
2 months,A763825,Cat,domestic shorthair,black,*Rey,Adoption,Spayed Female,Female,Yes,2,Kitten,2017,10,12,True,
1 month,A748754,Cat,domestic shorthair,black/white,,Died,Intact Male,Male,No,1,Kitten,2017,4,6,True,
2 months,A726531,Cat,domestic shorthair,orange,*Teddy,Adoption,Neutered Male,Male,Yes,2,Kitten,2016,4,7,True,tabby
4 months,A710846,Cat,domestic shorthair,black,,Transfer,Unknown,Female,Yes,4,Kitten,2015,4,8,True,
2 months,A732495,Cat,domestic mediumhair,blue /white,*Mistyfrnkln,Adoption,Spayed Female,Female,Yes,2,Kitten,2016,6,8,True,tabby
5 months,A755725,Cat,domestic shorthair,black/black,,Euthanasia,Unknown,Female,Yes,5,Kitten,2017,3,8,True,
5 months,A714727,Cat,domestic shorthair,black,*Jenny,Adoption,Spayed Female,Female,Yes,5,Kitten,2015,5,11,True,
3 years,A728014,Cat,domestic shorthair,brown,Mumu,Adoption,Spayed Female,Female,Yes,3,Cat,2013,5,6,True,tabby
4 months,A737111,Cat,domestic mediumhair,orange /white,Russia,Adoption,Neutered Male,Male,Yes,4,Kitten,2016,6,10,True,tabby
3 months,A751775,Cat,domestic shorthair,black,,Adoption,Spayed Female,Female,Yes,3,Kitten,2017,2,6,True,
1 year,A696174,Cat,domestic shorthair,brown,Clancy,Adoption,Neutered Male,Male,Yes,1,Cat,2014,1,12,True,tabby
2 months,A730504,Cat,domestic shorthair,black/black,*Tex,Adoption,Neutered Male,Male,Yes,2,Kitten,2016,4,7,True,
2 weeks,A755629,Cat,domestic shorthair,black,,Transfer,Intact Male,Male,No,2,Kitten,2017,7,8,True,
